,WPname,FPLlat,FPLlon,FPLalt,FPLvel,FPLturn,FPLwpt
0,Waypoint1,41.26502089,1.99106893,27.0,5.0,63.0,CurvaturePassed
1,Waypoint2,41.263878003281356,1.9910679958942628,27.0,10.0,63.0,CurvaturePassed
2,Waypoint3,41.263881669068724,1.9824310646281569,27.0,5.0,9.0,CurvaturePassed
3,Waypoint4,41.264061533362984,1.9824311878435832,27.0,3.0,9.0,CurvaturePassed
4,Waypoint5,41.26438836965208,1.982431411743164,17.0,0.0,0.2,LineStop
5,Hover10s,41.26438836965208,1.982431411743164,17.0,1.0,0.2,LineStop
6,Waypoint6,41.26438836965208,1.982431411743164,27.0,1.0,0.2,CurvaturePassed
7,Waypoint7,41.264061533362984,1.9824311878435832,77.0,5.0,18.0,CurvaturePassed
8,Waypoint8,41.263342076185914,1.9824306949841428,77.0,10.0,39.0,CurvaturePassed
9,Waypoint9,41.26333833847559,1.9912231208167839,77.0,5.0,39.0,CurvaturePassed
10,Waypoint10,41.26405779562296,1.991223710545844,77.0,3.0,39.0,CurvaturePassed
11,Waypoint11,41.26502089,1.9912245,22.0,0.0,53.0,CurvaturePassed
