,WPname,FPLlat,FPLlon,FPLalt,FPLvel,FPLturn,FPLwpt
0,Waypoint1,41.26502089,1.99106893,27.0,3.0,53.0,CurvaturePassed
1,Waypoint2,41.26405786756837,1.9910681428990675,77.0,10.0,39.0,CurvaturePassed
2,Waypoint3,41.263338410420324,1.9910675548839447,77.0,10.0,39.0,CurvaturePassed
3,Waypoint4,41.2633342217288,1.9994756505501845,77.0,10.0,39.0,CurvaturePassed
4,Waypoint5,41.26405367883288,1.9994763312005908,77.0,2.0,30.0,CurvaturePassed
5,Waypoint6,41.264602080919474,1.9994768500328066,17.0,0.0,0.2,LineStop
6,Hover10s,41.264602080919474,1.9994768500328066,17.0,9.0,0.2,LineStop
7,Waypoint7,41.264602080919474,1.9994768500328066,27.0,9.0,0.2,CurvaturePassed
8,Waypoint8,41.26387381455686,1.9994761610365135,27.0,10.0,40.0,CurvaturePassed
9,Waypoint9,41.263877931336125,1.9912235631125292,27.0,10.0,9.0,CurvaturePassed
10,Waypoint10,41.26405779562296,1.991223710545844,27.0,8.0,9.0,CurvaturePassed
11,Waypoint11,41.26502089,1.9912245,22.0,0.0,53.0,CurvaturePassed
